="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="(0.008)",="(0.009)",="(0.012)",="(0.013)",="(0.015)",="(0.017)",="(0.017)",="(0.018)",="(0.018)",="(0.020)",="(0.019)",="(0.022)",="(0.020)",="(0.026)",="(0.022)",="(0.029)",="(0.023)",="(0.031)",="(0.026)",="(0.034)",="(0.030)"
="F0_d_returns_h",="15.543***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(1.179)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="F0_d_returns_l",="-12.207***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.815)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="L1_vlm_ma60_adj",="0.021",="0.052**",="0.078**",="0.038",="0.049",="0.059",="0.065",="0.075*",="0.095**",="0.111**",="0.136***",="0.171***",="0.159***",="0.160***",="0.170***",="0.148**",="0.162***",="0.146**",="0.144**",="0.166**",="0.159**"
="",="(0.023)",="(0.023)",="(0.033)",="(0.032)",="(0.038)",="(0.036)",="(0.042)",="(0.045)",="(0.045)",="(0.049)",="(0.050)",="(0.053)",="(0.053)",="(0.058)",="(0.062)",="(0.061)",="(0.061)",="(0.066)",="(0.065)",="(0.073)",="(0.070)"
="L2_vlm_ma60_adj",="0.035",="0.059***",="0.021",="0.040",="0.047",="0.053",="0.063",="0.077*",="0.100**",="0.107**",="0.142***",="0.129**",="0.135**",="0.140**",="0.119*",="0.129**",="0.105*",="0.121*",="0.137*",="0.119",="0.116"
="",="(0.022)",="(0.022)",="(0.031)",="(0.030)",="(0.038)",="(0.036)",="(0.043)",="(0.042)",="(0.047)",="(0.051)",="(0.053)",="(0.055)",="(0.056)",="(0.063)",="(0.061)",="(0.064)",="(0.063)",="(0.068)",="(0.070)",="(0.074)",="(0.072)"
="L3_vlm_ma60_adj",="0.011",="-0.029",="-0.024",="-0.019",="-0.010",="-0.003",="0.003",="0.024",="0.024",="0.049",="0.037",="0.034",="0.026",="0.008",="0.025",="0.007",="0.020",="0.030",="0.013",="0.000",="-0.023"
="",="(0.022)",="(0.022)",="(0.030)",="(0.027)",="(0.036)",="(0.035)",="(0.041)",="(0.041)",="(0.049)",="(0.045)",="(0.052)",="(0.049)",="(0.059)",="(0.054)",="(0.060)",="(0.056)",="(0.064)",="(0.063)",="(0.070)",="(0.067)",="(0.068)"
="L4_vlm_ma60_adj",="-0.046**",="-0.037*",="-0.023",="-0.006",="-0.005",="0.010",="0.040",="0.042",="0.065",="0.056",="0.051",="0.043",="0.031",="0.046",="0.021",="0.028",="0.043",="0.036",="0.030",="0.011",="0.038"
="",="(0.020)",="(0.020)",="(0.026)",="(0.027)",="(0.035)",="(0.034)",="(0.041)",="(0.043)",="(0.046)",="(0.046)",="(0.048)",="(0.054)",="(0.052)",="(0.055)",="(0.054)",="(0.059)",="(0.060)",="(0.068)",="(0.064)",="(0.068)",="(0.066)"
="L5_vlm_ma60_adj",="0.020",="0.025",="0.036",="0.052*",="0.065*",="0.096***",="0.094**",="0.128***",="0.123***",="0.112***",="0.103**",="0.100**",="0.125**",="0.110**",="0.123**",="0.145***",="0.133**",="0.133**",="0.115*",="0.135**",="0.108"
