="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="(0.019)",="(0.019)",="(0.024)",="(0.025)",="(0.031)",="(0.032)",="(0.038)",="(0.038)",="(0.041)",="(0.039)",="(0.048)",="(0.042)",="(0.049)",="(0.045)",="(0.052)",="(0.049)",="(0.059)",="(0.052)",="(0.060)",="(0.054)",="(0.067)"
="L6_vlm_ma60_adj",="0.004",="0.021",="0.038",="0.060**",="0.093***",="0.087**",="0.099***",="0.082**",="0.074*",="0.071*",="0.061",="0.084**",="0.061",="0.080*",="0.106**",="0.102**",="0.096*",="0.078",="0.104*",="0.081",="0.091"
="",="(0.019)",="(0.018)",="(0.025)",="(0.025)",="(0.033)",="(0.034)",="(0.038)",="(0.035)",="(0.039)",="(0.040)",="(0.042)",="(0.041)",="(0.045)",="(0.044)",="(0.051)",="(0.049)",="(0.052)",="(0.051)",="(0.054)",="(0.058)",="(0.056)"
="L7_vlm_ma60_adj",="0.024",="0.039*",="0.058**",="0.081***",="0.075**",="0.093***",="0.081**",="0.085**",="0.081*",="0.073*",="0.102**",="0.075",="0.089*",="0.106**",="0.084",="0.084",="0.067",="0.092*",="0.072",="0.082",="0.081"
="",="(0.018)",="(0.020)",="(0.026)",="(0.030)",="(0.035)",="(0.034)",="(0.038)",="(0.038)",="(0.043)",="(0.041)",="(0.044)",="(0.046)",="(0.047)",="(0.051)",="(0.052)",="(0.053)",="(0.054)",="(0.055)",="(0.061)",="(0.058)",="(0.065)"
="L8_vlm_ma60_adj",="0.031",="0.069***",="0.105***",="0.110***",="0.133***",="0.115***",="0.114***",="0.110***",="0.120***",="0.144***",="0.120**",="0.137***",="0.155***",="0.139***",="0.138**",="0.141***",="0.163***",="0.142**",="0.157**",="0.171***",="0.164**"
="",="(0.019)",="(0.016)",="(0.027)",="(0.027)",="(0.034)",="(0.033)",="(0.038)",="(0.038)",="(0.042)",="(0.040)",="(0.048)",="(0.042)",="(0.051)",="(0.048)",="(0.055)",="(0.052)",="(0.058)",="(0.059)",="(0.061)",="(0.063)",="(0.065)"
="L1_vol_ma60",="0.006***",="0.006***",="0.006***",="0.010***",="0.011***",="0.012***",="0.010***",="0.008***",="0.006*",="0.006*",="0.007*",="0.005",="0.003",="0.004",="0.003",="0.004",="0.005",="0.008**",="0.008**",="0.006",="0.008*"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"
="L2_vol_ma60",="-0.002",="-0.003*",="-0.000",="0.001",="0.002",="-0.000",="-0.001",="-0.002",="-0.002",="-0.001",="-0.003",="-0.003",="-0.003",="-0.004",="-0.004",="-0.003",="-0.000",="-0.002",="-0.004",="-0.001",="-0.005"
