="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="L8_vlm_ma60_adj",="-0.036",="0.033",="0.082",="0.059",="0.083",="0.095",="0.150",="0.141",="0.139",="0.213",="0.289**",="0.218",="0.184",="0.190",="0.139",="0.126"
="",="(0.055)",="(0.057)",="(0.075)",="(0.081)",="(0.094)",="(0.101)",="(0.110)",="(0.127)",="(0.126)",="(0.133)",="(0.136)",="(0.147)",="(0.146)",="(0.150)",="(0.151)",="(0.168)"
="L1_vol_ma60",="0.006",="0.016**",="0.016",="0.005",="0.017",="-0.003",="-0.022",="-0.019",="-0.015",="-0.021*",="-0.015",="-0.005",="0.002",="0.000",="0.018",="0.014"
="",="(0.009)",="(0.008)",="(0.013)",="(0.010)",="(0.012)",="(0.012)",="(0.015)",="(0.012)",="(0.021)",="(0.011)",="(0.017)",="(0.012)",="(0.017)",="(0.013)",="(0.016)",="(0.016)"
="L2_vol_ma60",="0.009",="0.012",="-0.001",="0.010",="-0.008",="-0.029**",="-0.026**",="-0.020",="-0.029***",="-0.024",="-0.008",="-0.004",="-0.003",="0.013",="0.012",="-0.012"
="",="(0.007)",="(0.011)",="(0.009)",="(0.012)",="(0.011)",="(0.012)",="(0.013)",="(0.019)",="(0.011)",="(0.015)",="(0.013)",="(0.015)",="(0.014)",="(0.015)",="(0.016)",="(0.019)"
="L3_vol_ma60",="0.014",="-0.001",="0.011",="-0.007",="-0.028**",="-0.021*",="-0.012",="-0.021**",="-0.019",="-0.001",="0.002",="0.002",="0.016",="0.016",="-0.010",="-0.005"
="",="(0.009)",="(0.007)",="(0.014)",="(0.010)",="(0.012)",="(0.012)",="(0.017)",="(0.010)",="(0.014)",="(0.012)",="(0.015)",="(0.013)",="(0.014)",="(0.015)",="(0.017)",="(0.013)"
="L4_vol_ma60",="-0.010",="0.002",="-0.015*",="-0.033***",="-0.027**",="-0.018",="-0.024***",="-0.024*",="-0.012",="-0.006",="-0.010",="0.006",="0.007",="-0.018",="-0.010",="-0.016"
="",="(0.007)",="(0.011)",="(0.009)",="(0.011)",="(0.011)",="(0.016)",="(0.009)",="(0.014)",="(0.011)",="(0.014)",="(0.011)",="(0.011)",="(0.015)",="(0.017)",="(0.012)",="(0.016)"
