="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="L1_vix",="-0.116***",="-0.083***",="-0.066**",="-0.035",="-0.012",="-0.006",="0.003",="-0.007",="-0.040",="-0.079**",="-0.099**",="-0.087**",="-0.074*",="-0.074*",="-0.062",="-0.056"
="",="(0.018)",="(0.020)",="(0.027)",="(0.028)",="(0.033)",="(0.030)",="(0.035)",="(0.034)",="(0.036)",="(0.037)",="(0.039)",="(0.043)",="(0.044)",="(0.045)",="(0.047)",="(0.047)"
="L2_vix",="0.133***",="0.124***",="0.136***",="0.138***",="0.129***",="0.127***",="0.107**",="0.082**",="0.078",="0.090**",="0.119**",="0.124***",="0.120**",="0.128***",="0.130**",="0.110**"
="",="(0.023)",="(0.023)",="(0.031)",="(0.028)",="(0.039)",="(0.032)",="(0.045)",="(0.035)",="(0.048)",="(0.038)",="(0.051)",="(0.038)",="(0.051)",="(0.041)",="(0.055)",="(0.045)"
="L3_vix",="-0.019",="-0.004",="-0.003",="-0.015",="-0.018",="-0.038",="-0.064*",="-0.066*",="-0.061",="-0.032",="-0.022",="-0.037",="-0.033",="-0.033",="-0.056",="-0.040"
="",="(0.025)",="(0.021)",="(0.032)",="(0.027)",="(0.036)",="(0.031)",="(0.038)",="(0.034)",="(0.042)",="(0.036)",="(0.043)",="(0.037)",="(0.047)",="(0.040)",="(0.050)",="(0.042)"
="L4_vix",="0.026",="0.023",="0.016",="0.012",="-0.011",="-0.034",="-0.032",="-0.018",="0.009",="0.027",="0.007",="0.018",="0.018",="0.000",="0.011",="0.005"
="",="(0.019)",="(0.022)",="(0.027)",="(0.027)",="(0.033)",="(0.031)",="(0.036)",="(0.033)",="(0.037)",="(0.035)",="(0.037)",="(0.035)",="(0.042)",="(0.037)",="(0.044)",="(0.039)"
="L5_vix",="-0.026",="-0.034*",="-0.039",="-0.060**",="-0.077**",="-0.082**",="-0.066*",="-0.050*",="-0.026",="-0.059*",="-0.046",="-0.049",="-0.064",="-0.052",="-0.053",="-0.058"
="",="(0.023)",="(0.020)",="(0.032)",="(0.028)",="(0.037)",="(0.032)",="(0.038)",="(0.030)",="(0.041)",="(0.035)",="(0.041)",="(0.035)",="(0.043)",="(0.039)",="(0.047)",="(0.039)"
