="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="L8_factor_sent1_best_filter",="0.005",="0.060*",="0.054",="0.020",="-0.010",="0.005",="0.006",="0.096",="0.051",="0.063",="0.081",="0.108",="0.058",="0.044",="0.073",="0.076",="0.086",="0.092",="0.114",="0.154*",="0.100"
="",="(0.033)",="(0.033)",="(0.045)",="(0.047)",="(0.054)",="(0.055)",="(0.061)",="(0.061)",="(0.072)",="(0.068)",="(0.074)",="(0.071)",="(0.075)",="(0.068)",="(0.077)",="(0.073)",="(0.082)",="(0.079)",="(0.087)",="(0.085)",="(0.094)"
="L1_returns",="-0.107***",="-0.144***",="-0.174***",="-0.166***",="-0.197***",="-0.208***",="-0.189***",="-0.168***",="-0.178***",="-0.187***",="-0.187***",="-0.175***",="-0.162***",="-0.158***",="-0.148***",="-0.135***",="-0.153***",="-0.157***",="-0.173***",="-0.163***",="-0.154***"
="",="(0.012)",="(0.015)",="(0.018)",="(0.018)",="(0.023)",="(0.021)",="(0.025)",="(0.022)",="(0.029)",="(0.026)",="(0.033)",="(0.027)",="(0.038)",="(0.030)",="(0.041)",="(0.032)",="(0.051)",="(0.035)",="(0.052)",="(0.037)",="(0.054)"
="L2_returns",="-0.046***",="-0.083***",="-0.093***",="-0.119***",="-0.131***",="-0.118***",="-0.102***",="-0.107***",="-0.119***",="-0.130***",="-0.119***",="-0.106***",="-0.102***",="-0.087**",="-0.079**",="-0.087**",="-0.092***",="-0.114***",="-0.107***",="-0.092**",="-0.070*"
="",="(0.012)",="(0.013)",="(0.017)",="(0.019)",="(0.021)",="(0.021)",="(0.023)",="(0.024)",="(0.026)",="(0.028)",="(0.028)",="(0.032)",="(0.030)",="(0.036)",="(0.033)",="(0.042)",="(0.036)",="(0.044)",="(0.038)",="(0.045)",="(0.041)"
="L3_returns",="-0.031**",="-0.041***",="-0.068***",="-0.083***",="-0.069***",="-0.052**",="-0.057**",="-0.070***",="-0.069**",="-0.058**",="-0.043",="-0.043",="-0.021",="-0.016",="-0.028",="-0.034",="-0.047",="-0.038",="-0.023",="-0.005",="0.004"
="",="(0.012)",="(0.014)",="(0.018)",="(0.018)",="(0.022)",="(0.021)",="(0.026)",="(0.026)",="(0.029)",="(0.027)",="(0.032)",="(0.028)",="(0.035)",="(0.031)",="(0.041)",="(0.032)",="(0.042)",="(0.035)",="(0.043)",="(0.037)",="(0.042)"
="L4_returns",="-0.020",="-0.046***",="-0.065***",="-0.046**",="-0.025",="-0.037*",="-0.051**",="-0.055**",="-0.044",="-0.030",="-0.024",="-0.006",="0.001",="-0.004",="-0.012",="-0.019",="-0.007",="0.004",="0.017",="0.019",="0.031"
="",="(0.012)",="(0.013)",="(0.017)",="(0.019)",="(0.020)",="(0.021)",="(0.024)",="(0.024)",="(0.027)",="(0.028)",="(0.029)",="(0.032)",="(0.031)",="(0.039)",="(0.033)",="(0.039)",="(0.036)",="(0.042)",="(0.038)",="(0.042)",="(0.040)"
